1-state,2-city,3-street,4-number
RJ,Rio de Janeiro,R. Barao de Mesquita,262
RJ,Rio de Janeiro,Av. Eng. Richard,52
RJ,Rio de Janeiro,Rua Conde de Bonfim,875
RJ,Rio de Janeiro,Rua General Argolo,122
RJ,Rio de Janeiro,R. Dois de Maio,50
RJ,Rio de Janeiro,R. Licinio Cardoso,461
RJ,Rio de Janeiro,R. Dona Claudina,497
RJ,Rio de Janeiro,R. Manuel Vitorino,553
RJ,Rio de Janeiro,R. Mateus Silva,222
RJ,Rio de Janeiro,R. Aracati,51
RJ,Rio de Janeiro,R. Carneiro da Rocha,108
RJ,Rio de Janeiro,Rua Tatajuba,98
RJ,Rio de Janeiro,R. Maria Rodrigues,65
RJ,Rio de Janeiro,R. Tiboim,353
RJ,Rio de Janeiro,R. Aimore,448
RJ,Rio de Janeiro,Av. Min. Edgard Romero,101
RJ,Rio de Janeiro,Av. Vicente de Carvalho,739
RJ,Rio de Janeiro,R. Silva Vale,50
RJ,Rio de Janeiro,Av. Meriti,"4,034"
RJ,Rio de Janeiro,R. Toriba,145
RJ,Rio de Janeiro,R. Joao Vicente,"1,543"
RJ,Rio de Janeiro,R. das Rosas,810
RJ,Rio de Janeiro,R. Godofredo Viana,447
RJ,Rio de Janeiro,R. Barao de Petropolis,731
RJ,Rio de Janeiro,R. Volta Redonda,68
RJ,Rio de Janeiro,R. Motorista Luis Abreu,832
RJ,Rio de Janeiro,R. Francisco Bacuri,278
RJ,Rio de Janeiro,R. Franz Liszt,8
RJ,Duque de Caxias,R. Gen. Manoel Rabelo,338
RJ,Duque de Caxias,R. Igarape,307
RJ,Sao Joao de Meriti,Av. Automovel Clube,"2,110"
RJ,Sao Joao de Meriti,Av. Fluminense,44
RJ,Sao Joao de Meriti,R. Elizario de Souza,586
RJ,Nilopolis,Av. Getulio de Moura,"2,605"
RJ,Belford Roxo,R. Maria Amelia,357
RJ,Nova Iguacu,R. Athaide Pimenta de Morais,528
RJ,Rio de Janeiro,Av. de Santa Cruz,580
RJ,Rio de Janeiro,Av. de Santa Cruz,"5,403"
RJ,Rio de Janeiro,R. Teixeira Campos,121
